Pavarde                       Vardas                        Galutinis (Med.)
-------------------------------------------------------------------------
Pavarde1                      Vardas1                       5.00 
Pavarde10                     Vardas10                      5.00 
Pavarde100                    Vardas100                     3.00 
Pavarde1000                   Vardas1000                    7.00 
Pavarde10000                  Vardas10000                   5.00 
Pavarde1001                   Vardas1001                    4.00 
Pavarde1002                   Vardas1002                    5.00 
Pavarde1003                   Vardas1003                    6.00 
Pavarde1004                   Vardas1004                    6.00 
Pavarde1005                   Vardas1005                    6.00 
Pavarde1006                   Vardas1006                    4.00 
Pavarde1007                   Vardas1007                    7.00 
Pavarde1008                   Vardas1008                    7.00 
Pavarde1009                   Vardas1009                    4.00 
Pavarde101                    Vardas101                     7.00 
Pavarde1010                   Vardas1010                    6.00 
Pavarde1011                   Vardas1011                    6.00 
Pavarde1012                   Vardas1012                    6.00 
Pavarde1013                   Vardas1013                    4.00 
Pavarde1014                   Vardas1014                    5.00 
Pavarde1015                   Vardas1015                    4.00 
Pavarde1016                   Vardas1016                    6.00 
Pavarde1017                   Vardas1017                    5.00 
Pavarde1018                   Vardas1018                    7.00 
Pavarde1019                   Vardas1019                    7.00 
Pavarde102                    Vardas102                     8.00 
Pavarde1020                   Vardas1020                    7.00 
Pavarde1021                   Vardas1021                    5.00 
Pavarde1022                   Vardas1022                    5.00 
Pavarde1023                   Vardas1023                    7.00 
Pavarde1024                   Vardas1024                    6.00 
Pavarde1025                   Vardas1025                    7.00 
Pavarde1026                   Vardas1026                    6.00 
Pavarde1027                   Vardas1027                    2.00 
Pavarde1028                   Vardas1028                    5.00 
Pavarde1029                   Vardas1029                    5.00 
Pavarde103                    Vardas103                     6.00 
Pavarde1030                   Vardas1030                    5.00 
Pavarde1031                   Vardas1031                    9.00 
Pavarde1032                   Vardas1032                    7.00 
Pavarde1033                   Vardas1033                    6.00 
Pavarde1034                   Vardas1034                    4.00 
Pavarde1035                   Vardas1035                    4.00 
Pavarde1036                   Vardas1036                    6.00 
Pavarde1037                   Vardas1037                    5.00 
Pavarde1038                   Vardas1038                    4.00 
Pavarde1039                   Vardas1039                    6.00 
Pavarde104                    Vardas104                     6.00 
Pavarde1040                   Vardas1040                    6.00 
Pavarde1041                   Vardas1041                    6.00 
Pavarde1042                   Vardas1042                    5.00 
Pavarde1043                   Vardas1043                    6.00 
Pavarde1044                   Vardas1044                    9.00 
Pavarde1045                   Vardas1045                    7.00 
Pavarde1046                   Vardas1046                    5.00 
Pavarde1047                   Vardas1047                    7.00 
Pavarde1048                   Vardas1048                    6.00 
Pavarde1049                   Vardas1049                    6.00 
Pavarde105                    Vardas105                     4.00 
Pavarde1050                   Vardas1050                    6.00 
Pavarde1051                   Vardas1051                    5.00 
Pavarde1052                   Vardas1052                    5.00 
Pavarde1053                   Vardas1053                    5.00 
